,pmid,doi,pmcid,pubyear
0,PMC5639780,10.1186/s12859-017-1854-y,29025394,2017
1,PMC4422517,10.1186/s13073-015-0151-5,25949529,2015
2,PMC3965098,10.1093/nar/gkt1026,24217912,2014
3,PMC4117966,10.1186/1471-2105-15-248,25047600,2014
4,PMC4321842,10.1371/journal.pone.0115692,25664462,2015
5,PMC5210535,10.1093/nar/gkw1039,27899602,2017
6,PMC5635572,10.1186/s12859-017-1858-7,29017443,2017
7,PMC4572507,10.1016/j.ajhg.2015.05.020,26119816,2015
8,PMC4722686,10.12688/f1000research.6670.1,26834980,2015
9,PMC4343077,10.1093/database/bav005,25725061,2015
